CLASS        | FILE                                                                             | LINE  | LINK
----------------------------------------------------------------------------------------------------------------------------------------------------------------
external     | content/posts/2009-03-04-increasing-the-queue-depth/index.md                     |    15 | http://www.yellow-bricks.com/2008/07/21/queuedepth-and-whats-next/
external     | content/posts/2009-04-26-flex-10-lessons-learned/index.md                        |    14 | http://kensvirtualreality.wordpress.com/2009/04/05/the-great-vswitch-debate%e2%80%93part-3/](http://kensvirtualreality.wordpress.com/2009/04/05/the-great-vswitch-debate%e2%80%93part-3/
external     | content/posts/2009-04-26-flex-10-lessons-learned/index.md                        |    14 | http://blog.scottlowe.org/2008/07/16/understanding-nic-utilization-in-vmware-esx/](http://blog.scottlowe.org/2008/07/16/understanding-nic-utilization-in-vmware-esx/
internal-rel | content/posts/2009-07-25-vmworld-2009-sessions/index.md                          |    16 | /2009/07/19/vmworld-just-be-there/
external     | content/posts/2009-11-13-nfs-and-ip-hash-loadbalancing/index.md                  |    18 | http://www.yellow-bricks.com/2009/10/12/active-standby-etherchannels/
external     | content/posts/2009-11-13-nfs-and-ip-hash-loadbalancing/index.md                  |    18 | http://kensvirtualreality.wordpress.com/2009/04/05/the-great-vswitch-debate%E2%80%93part-3/
external     | content/posts/2009-12-08-impact-of-memory-reservation/index.md                   |    23 | http://www.yellow-bricks.com/2009/05/31/nehalem-cpu-and-tps-on-vsphere/](http://www.yellow-bricks.com/2009/05/31/nehalem-cpu-and-tps-on-vsphere/
external     | content/posts/2009-12-22-vmware-updates-timekeeping-best-practices-for-windows-vms/index.md |    13 | http://frankdenneman.wordpress.com/2009/09/18/timekeeping-best-practices-for-linux/
external     | content/posts/2009-12-30-wrap-up-2009/index.md                                   |    13 | http://www.yellow-bricks.com/2009/03/09/increasing-the-queue-depth/
external     | content/posts/2009-12-30-wrap-up-2009/index.md                                   |    13 | http://blog.scottlowe.org/2009/12/22/virtualization-short-take-32/
external     | content/posts/2010-02-24-resource-pools-and-avoiding-ha-slot-sizing/index.md     |    16 | http://www.yellow-bricks.com/2010/02/22/the-resource-pool-priority-pie-paradox/
external     | content/posts/2010-03-25-esx4-alua-and-hp-continuous-access/index.md             |    25 | http://www.yellow-bricks.com/2009/09/29/whats-that-alua-exactly/
